ukrainian name,english name
Автономна Республіка Крим,Avtonomna Respublika Krym
Амвросіївка,Amvrosiivka
Амвросіївський,Amvrosiivskyi
Ананьїв,Ananiv
Ананьївський,Ananivskyi
Андрушівка,Andrushivka
Андрушівський,Andrushivskyi
Антрацит,Antratsyt
Антрацитівський,Antratsytivskyi
Апостолівський,Apostolivskyi
Апостолове,Apostolove
Арбузинка,Arbuzynka
Арбузинський,Arbuzynskyi
Артемівськ,Artemivsk
Артемівський,Artemivskyi
Арциз,Artsyz
Арцизький,Artsyzkyi
Балаклавський,Balaklavskyi
Балаклійський,Balakliiskyi
Балаклія,Balakliia
Балта,Balta
Балтський,Baltskyi
Бар,Bar
Баранівка,Baranivka
Баранівський,Baranivskyi
Барвінківський,Barvinkivskyi
Барвінкове,Barvinkove
Баришівка,Baryshivka
Баришівський,Baryshivskyi
Барський,Barskyi
Бахмацький,Bakhmatskyi
Бахмач,Bakhmach
Бахчисарай,Bakhchysarai
Бахчисарайський,Bakhchysaraiskyi
Баштанка,Bashtanka
Баштанський,Bashtanskyi
Бердичів,Berdychiv
Бердичівський,Berdychivskyi
Бердянськ,Berdiansk
Бердянський,Berdianskyi
Берегівський,Berehivskyi
Берегове,Berehove
Бережани,Berezhany
Бережанський,Berezhanskyi
Березанка,Berezanka
Березанський,Berezanskyi
Березівка,Berezivka
Березівський,Berezivskyi
Березне,Berezne
Березнегувате,Bereznehuvate
Березнегуватський,Bereznehuvatskyi
Березнівський,Bereznivskyi
Берислав,Beryslav
Бериславський,Beryslavskyi
Бершадський,Bershadskyi
Бершадь,Bershad
Біла Церква,Bila Tserkva
Білгород-Дністровський,Bilhorod-Dnistrovskyi
Біловодськ,Вilovodsk
Біловодський,Bilovodskyi
Білогір’я,Bilohiria
Білогірськ,Bilohirsk
Білогірський,Bilohirskyi
Білозерка,Bilozerka
Білозерський,Bilozerskyi
Білокуракине,Bilokurakyne
Білокуракинський,Bilokurakynskyi
Білопілля,Bilopillia
Білопільський,Bilopilskyi
Білоцерківський,Bilotserkivskyi
Біляївка,Biliaivka
Біляївський,Biliaivskyi
Близнюки,Blyzniuky
Близнюківський,Blyzniukivskyi
Бобринець,Bobrynets
Бобринецький,Bobrynetskyi
Бобровицький,Bobrovytskyi
Бобровиця,Bobrovytsia
Богодухів,Bohodukhiv
Богодухівський,Bohodukhivskyi
Богородчани,Bohorodchany
Богородчанський,Bohorodchanskyi
Богуслав,Bohuslav
Богуславський,Bohuslavskyi
Болград,Bolhrad
Болградський,Bolhradskyi
Борзна,Borzna
Борзнянський,Borznianskyi
Бориспіль,Boryspil
Бориспільський,Boryspilskyi
Борівський,Borivskyi
Борова,Borova
Бородянка,Borodianka
Бородянський,Borodianskyi
Борщів,Borshchiv
Борщівський,Borshchivskyi
Братське,Bratske
Братський,Bratskyi
Бровари,Brovary
Броварський,Brovarskyi
Броди,Brody
Бродівський,Brodivskyi
Брусилів,Brusyliv
Брусилівський,Brusylivskyi
Буринський,Burynskyi
Буринь,Buryn
Буськ,Busk
Буський,Buskyi
Бучацький,Buchatskyi
Бучач,Buchach
Валки,Valky
Валківський,Valkivskyi
Варва,Varva
Варвинський,Varvynskyi
Василівка,Vasylivka
Василівський,Vasylivskyi
Васильків,Vasylkiv
Васильківка,Vasylkivka
Васильківський,Vasylkivskyi
Велика Багачка,Velyka Bahachka
Велика Білозерка,Velyka Bilozerka
Велика Лепетиха,Velyka Lepetykha
Велика Михайлівка,Velyka Mykhailivka
Велика Новосілка,Velyka Novosilka
Велика Олександрівка,Velyka Oleksandrivka
Велика Писарівка,Velyka Pysarivka
Великий Березний,Velykyi Bereznyi
Великий Бурлук,Velykyi Burluk
Велико-олександрівський,Velyko-oleksandrivskyi
Великобагачанський,Velykobahachanskyi
Великоберезнянський,Velykobereznianskyi
Великобілозерський,Velykobilozerskyi
Великобурлуцький,Velykoburlutskyi
Великолепетиський,Velykolepetyskyi
Великомихайлівський,Velykomykhailivskyi
Великоново- сілківський,Velykonovo-silkivskyi
Великописарівський,Velykopysarivskyi
Верхній Рогачик,Verkhnii Rohachyk
Верхньо-рогачицький,Verkhno-rohachytskyi
Верхньодніпровськ,Verkhnodniprovsk
Верхньодніпровський,Verkhnodniprovskyi
Верховина,Verkhovyna
Верховинський,Verkhovynskyi
Веселе,Vesele
Веселинівський,Veselynivskyi
Веселинове,Veselynove
Веселівський,Veselivskyi
Вижницький,Vyzhnytskyi
Вижниця,Vyzhnytsia
Виноградів,Vynohradiv
Виноградівський,Vynohradivskyi
Високопілля,Vysokopillia
Високопільський,Vysokopilskyi
Вишгород,Vyshhorod
Вишгородський,Vyshhorodskyi
Вільнянськ,Vilniansk
Вільнянський,Vilnianskyi
Вільшанка,Vilshanka
Вільшанський,Vilshanskyi
Вінницька,Vinnytska
Вінницький,Vinnytskyi
Вінниця,Vinnytsia
Віньківці,Vinkivtsi
Віньковецький,Vinkovetskyi
Вовчанськ,Vovchansk
Вовчанський,Vovchanskyi
Вознесенськ,Voznesensk
Вознесенський,Voznesenskyi
Волинська,Volynska
Волноваський,Volnovaskyi
Волноваха,Volnovakha
Воловець,Volovets
Воловецький,Volovetskyi
Володарка,Volodarka
Володарськ-Волинський,Volodarsk-Volynskyi
Володарське,Volodarske
Володарський,Volodarskyi
Володарсько-Волинський,Volodarsko-Volynskyi
Володимир-Волинський,Volodymyr-Volynskyi
Володимирець,Volodymyrets
Володимирецький,Volodymyretskyi
Волочиськ,Volochysk
Волочиський,Volochyskyi
Врадіївка,Vradiivka
Врадіївський,Vradiivskyi
Гагарінський,Haharinskyi
Гадяцький,Hadiatskyi
Гадяч,Hadiach
Гайворон,Haivoron
Гайворонський,Haivoronskyi
Гайсин,Haisyn
Гайсинський,Haisynskyi
Галицький,Halytskyi
Галич,Halych
Генічеськ,Henichesk
Генічеський,Henicheskyi
Герца,Hertsa
Герцаївський,Hertsaivskyi
Глибока,Hlyboka
Глибоцький,Hlybotskyi
Глобине,Hlobyne
Глобинський,Hlobynskyi
Глухів,Hlukhiv
Глухівський,Hlukhivskyi
Гола Пристань,Hola Prystan
Голованівськ,Holovanivsk
Голованівський,Holovanivskyi
Голопристанський,Holoprystanskyi
Голосіївський,Holosiivskyi
Горностаївка,Hornostaivka
Горностаївський,Hornostaivskyi
Городенка,Horodenka
Городенківський,Horodenkivskyi
Городище,Horodyshche
Городищенський,Horodyshchenskyi
Городня,Horodnia
Городнянський,Horodnianskyi
Городок,Horodok
Городоцький,Horodotskyi
Горохів,Horokhiv
Горохівський,Horokhivskyi
Гоща,Hoshcha
Гощанський,Hoshchanskyi
Гребінка,Hrebinka
Гребінківський,Hrebinkivskyi
Гуляйпільський,Huliaіpilskyi
Гуляйполе,Huliaipole
Гусятин,Husiatyn
Гусятинський,Husiatynskyi
Дарницький,Darnytskyi
Дворічанський,Dvorichanskyi
Дворічна,Dvorichna
Демидівка,Demydivka
Демидівський,Demydivskyi
Деражня,Derazhnia
Деражнянський,Derazhnianskyi
Дергачі,Derhachi
Дергачівський,Derhachivskyi
Деснянський,Desnianskyi
Джанкой,Dzhankoi
Джанкойський,Dzhankoiskyi
Диканський,Dykanskyi
Диканька,Dykanka
Дніпровський,Dniprovskyi
Дніпропетровськ,Dnipropetrovsk
Дніпропетровська,Dnipropetrovska
Дніпропетровський,Dnipropetrovskyi
Добровеличківка,Dobrovelychkivka
Добровеличківський,Dobrovelychkivskyi
Добропілля,Dobropillia
Добропільський,Dobropilskyi
Долина,Dolyna
Долинська,Dolynska
Долинський,Dolynskyi
Доманівка,Domanivka
Доманівський,Domanivskyi
Донецьк,Donetsk
Донецька,Donetska
Драбів,Drabiv
Драбівський,Drabivskyi
Дрогобицький,Drohobytskyi
Дрогобич,Drohobych
Дубенський,Dubenskyi
Дубно,Dubno
Дубровицький,Dubrovytskyi
Дубровиця,Dubrovytsia
Дунаєвецький,Dunaievetskyi
Дунаївці,Dunaivtsi
Єланець,Yelanets
Єланецький,Yelanetskyi
Ємільчине,Yemilchyne
Ємільчинський,Yemilchynskyi
Жашків,Zhashkiv
Жашківський,Zhashkivskyi
Жидачів,Zhydachiv
Жидачівський,Zhydachivskyi
Житомир,Zhytomyr
Житомирська,Zhytomyrskа
Житомирський,Zhytomyrskyi
Жмеринка,Zhmerynka
Жмеринський,Zhmerynskyi
Жовква,Zhovkva
Жовківський,Zhovkivskyi
Жовтневий,Zhovtnevyi
Закарпатська,Zakarpatska
Заліщики,Zalishchyky
Заліщицький,Zalishchytskyi
Запоріжжя,Zaporizhzhia
Запорізька,Zaporizka
Запорізький,Zaporizkyi
Зарічне,Zarichne
Зарічненський,Zarichnenskyi
Заставна,Zastavna
Заставнівський,Zastavnivskyi
Зачепилівка,Zachepylivka
Зачепилівський,Zachepylivskyi
Збараж,Zbarazh
Збаразький,Zbarazkyi
Зборів,Zboriv
Зборівський,Zborivskyi
Звенигородка,Zvenyhorodka
Звенигородський,Zvenyhorodskyi
Згурівка,Zghurivka
Згурівський,Zghurivskyi
Здолбунів,Zdolbuniv
Здолбунівський,Zdolbunivskyi
Зіньків,Zinkiv
Зіньківський,Zinkivskyi
Зміїв,Zmiiv
Зміївський,Zmiivskyi
Знам’янка,Znamianka
Знам’янський,Znamianskyi
Золотоніський,Zolotoniskyi
Золотоноша,Zolotonosha
Золочів,Zolochiv
Золочівський,Zolochivskyi
Іваничі,Ivanychi
Іваничівський,Ivanychivskyi
Іванівка,Ivanivka
Іванівський,Ivanivskyi
Іванків,Іvankiv
Іванківський,Ivankivskyi
Івано-Франківськ,Ivano-Frankivsk
Івано-Франківська,Ivano-Frankivska
Ізмаїл,Izmail
Ізмаїльський,Izmailskyi
Ізюм,Izium
Ізюмський,Iziumskyi
Ізяслав,Iziaslav
Ізяславський,Iziaslavskyi
Іллінецький,Illinetskyi
Іллінці,Illintsi
Іршава,Irshava
Іршавський,Irshavskyi
Ічня,Ichnia
Ічнянський,Ichnianskyi
Кагарлик,Kaharlyk
Кагарлицький,Kaharlytskyi
Казанка,Kazanka
Казанківський,Kazankivskyi
Каланчак,Kalanchak
Каланчацький,Kalanchatskyi
Калинівка,Kalynivka
Калинівський,Kalynivskyi
Калуський,Kaluskyi
Калуш,Kalush
Кам’янець-Подільський,Kamianets-Podilskyi
Кам’янка,Kamianka
Кам’янка-Бузька,Kamianka-Buzka
Кам’янка-Бузький,Kamianka-Buzkyi
Кам’янка-Дніпровська,Kamianka-Dniprovska
Кам’янський,Kamianskyi
Кам’янсько-Дніпровський,Kamiansko-Dniprovskyi
Камінь-Каширський,Kamin-Kashyrskyi
Канів,Kaniv
Канівський,Kanivskyi
Карлівка,Karlivka
Карлівський,Karlivskyi
Катеринопіль,Katerynopil
Катеринопільський,Katerynopilskyi
Каховка,Kakhovka
Каховський,Kakhovskyi
Кегичівка,Kehychivka
Кегичівський,Kehychivskyi
Кельменецький,Kelmenetskyi
Кельменці,Kelmentsi
Києво-Святошинський,Kyievo-Sviatoshynskyi
Київ,Kyiv
Київська,Kyivska
Ківерці,Kivertsi
Ківерцівський,Kivertsivskyi
Кілійський,Kiliiskyi
Кілія,Kiliia
Кіровоград,Kirovohrad
Кіровоградська,Kirovohradska
Кіровоградський,Kirovohradskyi
Кіровське,Kirovske
Кіровський,Kirovskyi
Кіцманський,Kitsmanskyi
Кіцмань,Kitsman
Кобеляки,Kobeliaky
Кобеляцький,Kobeliatskyi
Ковель,Kovel
Ковельський,Kovelskyi
Кодима,Kodyma
Кодимський,Kodymskyi
Козелець,Kozelets
Козелецький,Kozeletskyi
Козельщина,Kozelshchyna
Козельщинський,Kozelshchynskyi
Козівський,Kozivskyi
Козова,Kozova
Козятин,Koziatyn
Козятинський,Koziatynskyi
Коломак,Kolomak
Коломацький,Kolomatskyi
Коломийський,Kolomyiskyi
Коломия,Kolomyia
Комінтернівське,Kominternivske
Комінтернівський,Kominternivskyi
Компаніївка,Kompaniivka
Компаніївський,Kompaniivskyi
Конотоп,Konotop
Конотопський,Konotopskyi
Корець,Korets
Корецький,Koretskyi
Короп,Korop
Коропський,Koropskyi
Коростенський,Korostenskyi
Коростень,Korosten
Коростишів,Korostyshiv
Коростишівський,Korostyshivskyi
Корсунь- Шевченківський,Korsun- Shevchenkivskyi
Корсунь-Шевченківський,Korsun-Shevchenkivskyi
Корюківка,Koriukivka
Корюківський,Koriukivskyi
Косів,Kosiv
Косівський,Kosivskyi
Костопіль,Kostopil
Костопільський,Kostopilskyi
Костянтинівка,Kostiantynivka
Костянтинівський,Kostiantynivskyi
Котелевський,Kotelevskyi
Котельва,Kotelva
Котовськ,Kotovsk
Котовський,Kotovskyi
Красилів,Krasyliv
Красилівський,Krasylivskyi
Краснi Окни,Krasni Okny
Красний Лиман,Krasnyi Lyman
Красноармійськ,Krasnoarmiisk
Красноармійський,Krasnoarmiiskyi
Красногвардійське,Krasnohvardiiske
Красногвардійський,Krasnohvardiiskyi
Красноград,Krasnohrad
Красноградський,Krasnohradskyi
Краснодон,Krasnodon
Краснодонський,Krasnodonskyi
Краснокутськ,Krasnokutsk
Краснокутський,Krasnokutskyi
Краснолиманський,Krasnolymanskyi
Красноокнянський,Krasnooknianskyi
Красноперекопськ,Krasnoperekopsk
Красноперекопський,Krasnoperekopskyi
Краснопілля,Krasnopillia
Краснопільський,Krasnopilskyi
Красятичі,Krasiatychi
Кременець,Kremenets
Кременецький,Kremenetskyi
Кременчук,Kremenchuk
Кременчуцький,Kremenchutskyi
Кремінна,Kreminna
Кремінський,Kreminskyi
Криве Озеро,Kryve Ozero
Кривий Ріг,Kryvyi Rih
Кривоозерський,Kryvoozerskyi
Криворізький,Kryvorizkyi
Крижопіль,Kryzhopil
Крижопільський,Kryzhopilskyi
Криничанський,Krynychanskyi
Кринички,Krynychky
Кролевець,Krolevets
Кролевецький,Krolevetskyi
Куйбишеве,Kuibysheve
Куйбишевський,Kuibyshevskyi
Куликівка,Kulykivka
Куликівський,Kulykivskyi
Куп’янськ,Kupiansk
Куп’янський,Kupianskyi
Ланівці,Lanivtsi
Лановецький,Lanovetskyi
Лебедин,Lebedyn
Лебединський,Lebedynskyi
Леніне,Lenine
Ленінський,Leninskyi
Летичів,Letychiv
Летичівський,Letychivskyi
Липова Долина,Lypova Dolyna
Липовець,Lypovets
Липовецький,Lypovetskyi
